x,y,a
0.0,0.0,0.0
-1.4658169049702047e-05,-9.275029483942053e-10,9.34058991789128e-06
-0.0008125488346120181,2.0211027468157347e-06,1.1500442796483762e-05
-0.003213959836433968,3.7405620500612485e-06,1.7664794607298175e-05
-0.002971900285374522,3.7403261297866783e-06,1.7197776069720574e-05
-0.0030254909436209683,4.023578647939864e-06,1.730422942048628e-05
-0.0030420729747539146,4.116116207905332e-06,1.7336113954356257e-05
-0.0030473183606606145,4.146306966413715e-06,1.734564142560872e-05
-0.0030489742519431377,4.156142910995769e-06,1.734834885130033e-05
-0.0030494950915939643,4.1593411742186774e-06,1.7349045892841762e-05
-0.003049657972728414,4.160378115479464e-06,1.7349185220212292e-05
-0.003049708459731704,4.160712831267584e-06,1.7349188442510917e-05
-0.0030497238950132222,4.16082014083927e-06,1.7349169045417383e-05
-0.0030497285120891244,4.160854178952034e-06,1.734915274635113e-05
-0.0030497298439805896,4.16086479267104e-06,1.7349142538628683e-05
-0.0030497302039388646,4.160868009581853e-06,1.7349136795076026e-05
-0.0030497302888236946,4.160868936920749e-06,1.734913371966999e-05
-0.0030497303020767703,4.160869179033723e-06,1.7349132108853035e-05
-0.003049730299916025,4.1608692282738085e-06,1.7349131267541097e-05
-0.003049730296272809,4.160869229772251e-06,1.734913082062346e-05
-0.0030497302937438006,4.160869223201877e-06,1.7349130572831643e-05
-0.003049730292303909,4.160869217682034e-06,1.734913042473386e-05
-0.003049730291550737,4.160869214332695e-06,1.7349130326160223e-05
-0.003049730291173525,4.160869212580905e-06,1.7349130252157034e-05
-0.0030497302909888203,4.160869211793783e-06,1.734913019028313e-05
-0.0030497302908991126,4.160869211544686e-06,1.7349130134384703e-05
-0.0030497302908777998,4.160869211529332e-06,1.7349130112974644e-05
-0.0030497302908777998,4.160869211529332e-06,1.7349130112974644e-05
-0.0030497302908777998,4.160869211529332e-06,1.7349130112974644e-05
-0.0030497302908777998,4.160869211529332e-06,1.7349130112974644e-05
-0.0030497302908777998,4.160869211529332e-06,1.7349130112974644e-05
